"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001107844",757.903224915423,0.957026513851209,0.152530571964314,6.27389242514656,3.52131846731874e-10,4.36114274455326e-09
"NM_001107845",2839.76554993929,0.55032618895188,0.1163526117532,4.72981944245748,2.24719605883262e-06,1.54917705136898e-05
"NM_001107846",24.7023139099035,0.32573644962238,0.406056223449001,0.802599692959727,0.422206145876997,0.558475668697403
"NM_001107847",206.724974643986,0.549843271468629,0.282870478483751,1.94260482992446,0.0520639228932135,0.109279154771747
"NM_001107848",58.8533064161946,-0.768056623032791,0.290780960365202,-2.63518430367817,0.00840916094262474,0.0242300541092896
"NM_001107849",207.70167471064,-0.246530715300219,0.222377049373321,-1.10842998940607,0.267676159252735,0.397948195125527
"NM_001107850",507.35239412128,0.533720452820526,0.157768399918391,3.38265310959616,0.000717892482217572,0.00284422417233611
"NM_001107853",2438.36175709022,-0.618734295949683,0.143166990133185,-4.32166351122359,1.54857228422301e-05,9.14041591233118e-05
"NM_001107855",636.197320438216,0.299440184455538,0.14276189645684,2.09759424793237,0.0359410036548868,0.0806526963038965
"NM_001107857",133.864468639326,-2.00385182639982,0.363109462965822,-5.4962512105627,3.87949761316072e-08,3.66499629010501e-07
"NM_001107858",1397.99483839929,-0.461074483156882,0.132550073491143,-3.47836747732978,0.000504477815140127,0.00207067848030505
"NM_001107859",373.70189912471,0.542955829397647,0.224539935530074,2.41736097645127,0.0156335047104819,0.0405328499427377
"NM_001107861",924.845528188076,0.0415350576391278,0.170972905310083,0.24294172976471,0.808050538077595,0.871054999375194
"NM_001107862",602.822406494889,0.459811835384855,0.156719299016147,2.93373400434789,0.00334911090415394,0.0110058359252151
"NM_001107863",1444.52340425353,-0.21712007983624,0.260644414427055,-0.833098202675353,0.404789347164678,0.541454398323785
"NM_001107864",723.115692051641,0.154118757886347,0.140284305866406,1.09856194440684,0.271959184592356,0.402639406376162
"NM_001107865",991.007492367553,0.138531930880731,0.130770235003444,1.0593891957238,0.289422568135052,0.421767619140237
"NM_001107866",34.0860841471403,-1.46046717908647,0.362279622364414,-3.98801762611678,6.66277144421222e-05,0.000344656062201089
"NM_001107868",1467.03356476961,-0.00907380523358672,0.175214282352027,-0.0517894453767149,0.958696465635573,0.973047393306859
"NM_001107869",384.732654698242,-0.498031905612125,0.18701034156423,-2.66253730163003,0.00775539733306834,0.0226016244910667
"NM_001107870",424.61964914875,1.20351444206607,0.157243838420175,7.6507820414947,1.99760682908015e-14,3.97776244608468e-13
"NM_001107872",432.47503534317,-0.373828385661087,0.172873941606917,-2.16241211322809,0.0305864247137124,0.0708488327354806
"NM_001107873",289.695640890246,-0.161562845670651,0.242594324614055,-0.666048363400318,0.505380187986762,0.635686034272888
"NM_001107874",1537.67836704277,-1.05871308053224,0.208229627690517,-5.08360795101404,3.70331941887033e-07,2.94314992094643e-06
"NM_001107875",585.733529131311,0.19989542975279,0.130992359465435,1.52600189136704,0.127009393463675,0.223040346413993
"NM_001107876",183.375531792877,-0.0851517284237895,0.271586736656553,-0.313395489954605,0.753980210267636,0.832978239929585
"NM_001107877",358.922943738099,-2.22305894573971,0.180827765741451,-12.2583954609295,1.51469424891985e-34,1.41103647727638e-32
"NM_001107879",1020.80142509081,0.00453986920217621,0.157731913200024,0.028782179216322,0.977038313917223,0.985594299152092
"NM_001107880",1005.40568925691,-0.295685471646982,0.123678909753018,-2.39066493335015,0.0168178934033157,0.042976489794532
"NM_001107881",969.080478631167,-1.07280697498769,0.205948969393215,-5.20808615131515,1.90798339729732e-07,1.58328630017399e-06
"NM_001107882",3976.57302195085,0.405586954646693,0.122010327458202,3.32423124864616,0.000886626433693495,0.00342285729158862
"NM_001107883",1469.49535621047,-0.371730788500966,0.160141241914027,-2.32130877196866,0.0202701851461144,0.0503488276073089
"NM_001107884",594.202859844264,-0.10505509139725,0.149759658635655,-0.701502735197932,0.482989328268465,0.614666746702312
"NM_001107885",236.833123774275,-0.196723411767871,0.181364274339432,-1.08481790697624,0.278002312833178,0.409340360267105
"NM_001107886",252.857873567687,1.21065941226987,0.214098617250424,5.65134307612304,1.5919898491904e-08,1.58503599018372e-07
"NM_001107887",1228.90125408406,-0.610224335303329,0.122025738406957,-5.00051516703608,5.7177329721647e-07,4.39097299862368e-06
"NM_001107888",373.073572158446,0.437891797310625,0.17871720235947,2.45049755029465,0.0142658933350358,0.0375504951592723
"NM_001107889",4187.69341727498,-0.397051151001319,0.118446023228309,-3.35212829763075,0.000801928464509583,0.00313313626560582
"NM_001107890",645.634204431813,0.00175124714322914,0.192088614143968,0.00911608093335012,0.992726520509635,0.995159261314003
"NM_001107891",2963.39490756843,-0.631854025897669,0.124632329331422,-5.06967392490457,3.98497834496134e-07,3.1483092189949e-06
"NM_001107892",2287.63599565785,-0.280384921919921,0.16260417943355,-1.72433884511642,0.084646690605829,0.161212443815155
"NM_001107894",3466.2417988842,0.440791088677532,0.161339396533136,2.73211234078561,0.00629296793788133,0.0189692080806198
"NM_001107895",255.026854026658,0.104910484247509,0.196653559541027,0.53351701079833,0.593675738831159,0.710277912969752
"NM_001107896",1599.11955700636,0.123347227450597,0.123540180126472,0.998451418033453,0.318060511135,0.452387447661876
"NM_001107898",37.582481149314,0.286259110560451,0.38030049018948,0.753911145533586,0.450902577612797,0.585656287496199
"NM_001107899",130.344318774556,-0.653560385338547,0.252117822234329,-2.59129259339054,0.00956161580059723,0.0268925151146753
"NM_001107901",1447.14723607025,-0.211867590766691,0.140862427952915,-1.50410561801034,0.132554173994928,0.231053183535252
