"","SRR1178035","SRR1178074","SRR1178075","SRR1178029","SRR1178039","SRR1178055"
"NM_177929",294.477398270855,243.924381504538,237.679462922898,262.782328787063,208.2055784601,167.13769806302
"NM_177930",942.327674466735,1013.86889869634,988.426612636089,2595.12686908146,2584.19865029888,3196.86258074777
"NM_177932",50.4818397035751,73.0842135423901,55.4204516911565,50.8610958942703,124.515100843785,127.477905302304
"NM_177933",9934.40537166604,8873.44763404484,9354.62943854953,4250.53444259259,3882.42166893245,4266.2605641171
"NM_177934",60.9988896418199,36.309354498767,34.8520366305211,60.5489236836551,67.3606283253263,58.0732679710495
"NM_178021",527.955906899889,505.537935713603,457.075890236342,506.189001995357,531.740717537803,422.093508667628
"NM_178091",9442.20743455619,9702.0457238885,4323.93792163579,2907.55931528912,2054.49916392245,2090.63764695778
"NM_178093",3760.89705791634,3589.50554538452,3354.36568947195,4064.04375764693,4201.8743456874,5123.19537198259
"NM_178094",149.342109123076,245.786399683961,205.684150606354,587.324559731455,461.318242470417,263.454337624761
"NM_178095",3632.58904866976,3285.99658213842,3240.66806177566,3112.21467733987,3532.35052475689,6824.31719718333
"NM_178096",1886.75875892112,2387.57281056636,2811.5880698163,84.7684931571172,22.4535427751088,39.6597927607167
"NM_178097",86.2398094936074,74.015222632102,87.4157640077004,58.1269667363089,55.1132413570852,56.6568468010239
"NM_178101",1015.94702403445,912.854412462592,1001.56754448038,1043.86344430621,1069.60512855973,909.342391156433
"NM_178102",2107.61680762426,4771.42158477387,2240.24320702087,2661.73068513348,2792.40422875898,2471.65494169467
"NM_178105",376.510387789164,448.746381241172,921.579263689024,519.509765205761,682.791823479444,990.078397847892
"NM_178144",63.1022996294688,75.877240811526,59.4198657307244,124.73078278833,121.453254101725,150.140644022713
"NM_178330",130.411419234236,140.582372546508,110.269558519517,197.389491208716,126.556332005159,161.472013382918
"NM_178847",7235.73035751243,6364.84364181592,6351.64083969677,6489.63364041415,6079.80701415105,3954.64790671147
"NM_181081",881.328784824915,929.147071532551,817.023153797461,1055.97322904295,923.65710052152,1097.72640676984
"NM_181083",2042.41109800714,1735.86644776798,1581.48258021774,2348.08726045215,2698.5075953358,3171.36699968731
"NM_181084",469.060427245718,706.170394546533,341.664227951666,1016.01093941173,1484.99566989924,1239.3685237724
"NM_181086",82.0329895183095,239.734840600834,69.1327283982467,1076.55986309539,585.833343314202,337.108238466092
"NM_181087",294.477398270855,142.909895270788,273.102844416214,85.9794716307903,46.9483167115911,99.1494819017918
"NM_181088",168.272799011917,174.564204320995,146.835629738425,146.528395314445,137.783103392713,151.557065192739
"NM_181090",3201.39000120172,5202.94429785537,2676.75068219658,3804.89436428089,3569.09268566161,3437.65417965212
"NM_181091",189.306898888406,183.874295218115,207.969530057536,176.802857156273,167.380955232629,177.0526462532
"NM_181363",267.133068431418,234.614290607418,289.100500574486,259.149393366044,307.205289786716,358.354556016476
"NM_181368",14.7238699135427,23.7407317876554,7.42748321634056,43.5952250522317,12.2473869682412,16.9970540403072
"NM_181369",21.0340998764896,40.9643999473269,52.5637273771793,55.7050097889627,10.2061558068676,33.9941080806143
"NM_181371",3192.97636125112,1592.02554340748,3009.84473720631,2314.1798631893,2470.91032084265,1308.77316110365
"NM_181376",35.7579697900323,10.7066045316877,27.9958982769759,31.4854403155007,19.3916960330485,28.3284234005119
"NM_181377",395.441077678005,525.089126597554,334.236744735325,312.43244620766,499.081018955827,378.184452396834
"NM_181379",315.511498147344,390.092808589318,325.666571793394,653.928375783475,639.9259690906,464.586143768396
"NM_181380",561.610466702273,913.785421552304,437.078820038502,410.521702575182,514.390252666128,611.893945451058
"NM_181381",906.569704676702,1228.93199841981,1042.13302973886,1111.67823883191,1099.20298039964,930.588708706817
"NM_181386",570.024106652868,591.65627651196,495.927340906431,767.760352308747,791.997690612928,791.779434044309
"NM_181388",523.749086924591,614.465999209904,589.056553542086,899.757005939115,1056.3371260108,1065.14871985925
"NM_181389",643.643456220582,719.670026347357,633.621452840129,478.336497100875,515.410868246815,422.093508667628
"NM_181432",147.238699135427,147.099436174492,145.692940012834,191.33459884035,200.040653814605,203.964648483686
"NM_181473",2848.01712327669,2110.13210183219,2666.46647466626,1874.59467724596,1580.9335344838,2211.03344640996
"NM_181474",298.684218246152,381.71372678191,310.811605360712,312.43244620766,355.174222078993,362.603819526553
"NM_181475",1344.07898210769,1457.02922539924,1144.97510504204,1719.58943261581,1276.79009143914,1307.35673993363
"NM_181478",921.293574590245,728.980117244477,786.170531206508,375.403326838662,415.390541339512,429.175614517756
"NM_181480",868.708324899021,795.547267158883,820.451222974234,882.803307307692,1064.50205065629,1321.52095163388
"NM_181550",134.618239209533,135.927327097948,132.552008168539,96.8782778938482,172.484033136063,169.970540403072
"NM_181626",1790.00189948927,1912.2926702684,1961.4269139767,1474.97178093384,1703.40740416621,1936.24773942499
"NM_181628",1007.53338408385,1044.12669411198,958.716679770727,1146.79661456843,1274.74886027777,1303.10747642355
"NM_181629",29.4477398270855,74.480727176958,47.9929684748159,67.8147945256937,86.7523243583748,96.3166395617406
"NM_181631",1085.35955362686,1194.01915755561,945.004403063637,819.83242667669,775.66784132194,841.354174995205
"NM_181635",48.3784297159261,57.7225635621425,101.128040714791,50.8610958942703,61.2369348412058,33.9941080806143
"NM_181637",616.299126381146,466.901058490556,523.351894320611,730.220019624881,825.678004775591,808.776488084616
"NM_181638",73.6193495677136,291.405845079848,242.250221825261,196.178512735043,202.081884975979,182.718330933302
"NM_181639",227.168278666088,191.322367935811,235.965428334512,196.178512735043,211.26742520216,201.131806143635
"NM_181768",2191.75320713022,2025.4102746684,2133.40171767813,1590.01473593278,1819.7575803645,1804.52057061261
"NM_181822",35.7579697900323,46.5504544855988,52.5637273771793,25.4305479471351,41.8452388081573,18.4134752103328
"NM_181823",736.193495677136,703.842871822253,737.034873006101,823.46536209771,758.317376450265,813.025751594693
"NM_182473",12.6204599258938,24.6717408773673,7.99882807913598,39.9622896312124,29.5978518399161,29.7448445705375
"NM_182474",135674.151023333,120757.930494726,148707.926853805,12586.9102553582,11459.471739951,5560.86951352049
