"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001109419",4465.72001866451,-0.619986142101429,0.235321483243993,-2.63457951247673,0.00842415705031386,0.0242667368862631
"NM_001109422",445.9728829756,0.851211892634271,0.151810065995632,5.60642961410445,2.06542913127727e-08,2.01704122911334e-07
"NM_001109425",256.321433873126,0.539779648357357,0.206031581772537,2.62007166705647,0.0087911289882601,0.0250877370408179
"NM_001109430",461.542591204245,-1.61094922886813,0.461580228854131,-4.41457460443146,1.01208809355593e-05,6.17806253348414e-05
"NM_001109433",910.117992537138,-1.98710968869068,0.195554749402774,-10.1545053822332,3.1641048999088e-24,1.50653581300991e-22
"NM_001109434",469.372453362673,1.1145022059971,0.171008742146465,6.51516072876043,7.26118648867789e-11,9.9601908902953e-10
"NM_001109438",2590.65552896553,0.762399029012221,0.156653883786547,4.86664697707157,1.13507517281462e-06,8.28906634380571e-06
"NM_001109440",3233.51449794525,2.62150376759082,0.209044940112421,12.5384991125999,4.59617993284803e-36,4.64517694533971e-34
"NM_001109443",1487.31076875048,-0.378974149869078,0.125872301924742,-3.01072807256199,0.00260622138096512,0.00884958784604732
"NM_001109459",223.441574577877,-0.628861862898306,0.224712705471752,-2.79700188002492,0.00515792331439703,0.0159794194526129
"NM_001109467",67.1933098584064,-1.67846787993996,0.290541654541992,-5.72838524727534,1.01391102635785e-08,1.04342255767258e-07
"NM_001109468",882.917552502,1.88092687503638,0.171405281990836,10.9704304040161,5.30194090100051e-28,3.24279956145313e-26
"NM_001109476",885.234001977751,0.411095569427992,0.137592962556372,2.98782679900756,0.00280968731646548,0.00945357419010513
"NM_001109498",1916.43918549113,-0.645053780470612,0.175381369408181,-3.67796728193369,0.000235100107606549,0.00106002838922094
"NM_001109499",67.2530064993861,-0.756044414705524,0.319229306203597,-2.36252287404161,0.0181510212692503,0.0458288689270511
"NM_001109503",442.362092886089,0.461644145778808,0.145836210266896,3.16555243380044,0.00154788761127102,0.00562309934877803
"NM_001109506",138.275211537941,-0.661003702974457,0.227124543265758,-2.90901673921193,0.00362567446483461,0.0117952780266545
"NM_001109508",99.300141678424,-1.34597624912962,0.278166200111842,-4.82404612568492,1.40674862533641e-06,1.01280228650733e-05
